url,file_accession,biological_replicate,time_point
https://www.encodeproject.org/files/ENCFF778BJF/@@download/ENCFF778BJF.tsv,ENCFF778BJF,1,0h
https://www.encodeproject.org/files/ENCFF620TAH/@@download/ENCFF620TAH.tsv,ENCFF620TAH,2,0h
https://www.encodeproject.org/files/ENCFF467SQA/@@download/ENCFF467SQA.tsv,ENCFF467SQA,3,0h
https://www.encodeproject.org/files/ENCFF082ICE/@@download/ENCFF082ICE.tsv,ENCFF082ICE,4,0h
https://www.encodeproject.org/files/ENCFF054BTH/@@download/ENCFF054BTH.tsv,ENCFF054BTH,1,1h
https://www.encodeproject.org/files/ENCFF130DRZ/@@download/ENCFF130DRZ.tsv,ENCFF130DRZ,2,1h
https://www.encodeproject.org/files/ENCFF165EET/@@download/ENCFF165EET.tsv,ENCFF165EET,3,1h
https://www.encodeproject.org/files/ENCFF744NRK/@@download/ENCFF744NRK.tsv,ENCFF744NRK,4,1h
https://www.encodeproject.org/files/ENCFF763LKA/@@download/ENCFF763LKA.tsv,ENCFF763LKA,2,6h
https://www.encodeproject.org/files/ENCFF197WCT/@@download/ENCFF197WCT.tsv,ENCFF197WCT,3,6h
https://www.encodeproject.org/files/ENCFF474PTO/@@download/ENCFF474PTO.tsv,ENCFF474PTO,4,6h
