accession,file_accession,href,time_point
ENCSR482TZY,ENCFF565HCH,https://www.encodeproject.org/files/ENCFF565HCH/@@download/ENCFF565HCH.tsv,5m
ENCSR482TZY,ENCFF268NBB,https://www.encodeproject.org/files/ENCFF268NBB/@@download/ENCFF268NBB.tsv,5m
ENCSR525HSH,ENCFF469YXW,https://www.encodeproject.org/files/ENCFF469YXW/@@download/ENCFF469YXW.tsv,25m
ENCSR525HSH,ENCFF720ORQ,https://www.encodeproject.org/files/ENCFF720ORQ/@@download/ENCFF720ORQ.tsv,25m
ENCSR525HSH,ENCFF370ZGU,https://www.encodeproject.org/files/ENCFF370ZGU/@@download/ENCFF370ZGU.tsv,25m
ENCSR742VGF,ENCFF056GXX,https://www.encodeproject.org/files/ENCFF056GXX/@@download/ENCFF056GXX.tsv,10m
ENCSR742VGF,ENCFF910WIQ,https://www.encodeproject.org/files/ENCFF910WIQ/@@download/ENCFF910WIQ.tsv,10m
ENCSR742VGF,ENCFF720ZBH,https://www.encodeproject.org/files/ENCFF720ZBH/@@download/ENCFF720ZBH.tsv,10m
ENCSR831FZM,ENCFF772VZF,https://www.encodeproject.org/files/ENCFF772VZF/@@download/ENCFF772VZF.tsv,20m
ENCSR831FZM,ENCFF216BMZ,https://www.encodeproject.org/files/ENCFF216BMZ/@@download/ENCFF216BMZ.tsv,20m
ENCSR831FZM,ENCFF573ZVB,https://www.encodeproject.org/files/ENCFF573ZVB/@@download/ENCFF573ZVB.tsv,20m
ENCSR937WIG,ENCFF353IAX,https://www.encodeproject.org/files/ENCFF353IAX/@@download/ENCFF353IAX.tsv,0m
ENCSR937WIG,ENCFF862YEN,https://www.encodeproject.org/files/ENCFF862YEN/@@download/ENCFF862YEN.tsv,0m
ENCSR937WIG,ENCFF717EYL,https://www.encodeproject.org/files/ENCFF717EYL/@@download/ENCFF717EYL.tsv,0m
ENCSR964GKZ,ENCFF209ELH,https://www.encodeproject.org/files/ENCFF209ELH/@@download/ENCFF209ELH.tsv,15m
ENCSR964GKZ,ENCFF853ESA,https://www.encodeproject.org/files/ENCFF853ESA/@@download/ENCFF853ESA.tsv,15m
ENCSR964GKZ,ENCFF230NXC,https://www.encodeproject.org/files/ENCFF230NXC/@@download/ENCFF230NXC.tsv,15m
